model_type,clf,parameters,auc-roc,p_at_5,p_at_10,p_at_20,run_time
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.5733851518665635,0.4666666666666667,0.23333333333333334,0.11666666666666667,4.403895
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'}",0.5762503152053724,0.1584,0.13306666666666667,0.11293333333333333,4.420435
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'}",0.5980008422550396,0.29013333333333335,0.14506666666666668,0.18293333333333334,4.667913
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'}",0.6037244629731118,0.1712,0.1416,0.11666666666666667,4.670275
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 25, 'weights': 'uniform'}",0.6223446997775048,0.24,0.21893333333333334,0.1852,5.122579
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 25, 'weights': 'distance'}",0.631684905135553,0.17653333333333332,0.1424,0.11973333333333333,5.074908
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 50, 'weights': 'uniform'}",0.6376349053439206,0.22986666666666666,0.17226666666666668,0.12373333333333333,5.692271
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 50, 'weights': 'distance'}",0.6457115428019213,0.17706666666666668,0.14826666666666666,0.124,5.876018
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 100, 'weights': 'uniform'}",0.6439332672330159,0.19946666666666665,0.1784,0.14106666666666667,6.973904
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 100, 'weights': 'distance'}",0.6545267793620579,0.1744,0.15226666666666666,0.1288,7.165809
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 1, 'weights': 'uniform'}",0.5337429731063726,0.1648,0.5824,0.3396,8.500873
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 1, 'weights': 'distance'}",0.5337429731063726,0.1648,0.5824,0.3396,8.313247
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.5735529637302731,0.4672,0.2336,0.1168,8.860117
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.5764115502863115,0.1584,0.13306666666666667,0.11306666666666666,9.11616
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'uniform'}",0.5979309857015799,0.2896,0.1448,0.18293333333333334,9.163183
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance'}",0.6036351849723244,0.1712,0.1416,0.11653333333333334,9.183916
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 25, 'weights': 'uniform'}",0.6223583026535684,0.23893333333333333,0.21893333333333334,0.18533333333333332,10.101194
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 25, 'weights': 'distance'}",0.6317130544397771,0.17653333333333332,0.14213333333333333,0.11973333333333333,10.141427
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 50, 'weights': 'uniform'}",0.6376936021472819,0.22986666666666666,0.17226666666666668,0.12373333333333333,11.418459
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 50, 'weights': 'distance'}",0.6457220005043287,0.17706666666666668,0.14826666666666666,0.124,11.28929
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 100, 'weights': 'uniform'}",0.6438968169168915,0.19946666666666665,0.1784,0.14106666666666667,13.74635
KNN,KNN,"{'algorithm': 'ball_tree', 'n_neighbors': 100, 'weights': 'distance'}",0.6545340132614673,0.1744,0.15226666666666666,0.12893333333333334,14.050865
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 1, 'weights': 'uniform'}",0.5337429731063726,0.1648,0.5824,0.3396,3.949847
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 1, 'weights': 'distance'}",0.5337429731063726,0.1648,0.5824,0.3396,3.940728
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.5733851518665635,0.4666666666666667,0.23333333333333334,0.11666666666666667,4.580886
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.5762503152053724,0.1584,0.13306666666666667,0.11293333333333333,4.772963
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'uniform'}",0.5980008422550396,0.29013333333333335,0.14506666666666668,0.18293333333333334,4.985943
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'distance'}",0.6037244629731118,0.1712,0.1416,0.11666666666666667,5.096602
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 25, 'weights': 'uniform'}",0.6223446997775048,0.24,0.21893333333333334,0.1852,5.53803
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 25, 'weights': 'distance'}",0.631684905135553,0.17653333333333332,0.1424,0.11973333333333333,5.516906
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 50, 'weights': 'uniform'}",0.6376349053439206,0.22986666666666666,0.17226666666666668,0.12373333333333333,6.215835
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 50, 'weights': 'distance'}",0.6457115428019213,0.17706666666666668,0.14826666666666666,0.124,6.306749
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 100, 'weights': 'uniform'}",0.6439332672330159,0.19946666666666665,0.1784,0.14106666666666667,7.61501
KNN,KNN,"{'algorithm': 'kd_tree', 'n_neighbors': 100, 'weights': 'distance'}",0.6545267793620579,0.1744,0.15226666666666666,0.1288,7.789135
ET,ET,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.7846884544303259,0.4048,0.3336,0.21746666666666667,0.358309
ET,ET,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8145461664371308,0.45813333333333334,0.3469333333333333,0.2216,1.58826
ET,ET,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.7741085002462952,0.4245333333333333,0.3488,0.206,0.352335
ET,ET,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8144617803046553,0.45066666666666666,0.34746666666666665,0.222,1.496441
ET,ET,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.8067776998336349,0.4458666666666667,0.3384,0.222,0.350904
ET,ET,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8134181218233816,0.4629333333333333,0.3485333333333333,0.22346666666666667,1.590947
ET,ET,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.7991794152068539,0.4512,0.34746666666666665,0.21226666666666666,0.352412
ET,ET,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8148220374814614,0.4629333333333333,0.34373333333333334,0.2236,1.478279
ET,ET,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.7617762294087869,0.43946666666666667,0.3504,0.24266666666666667,0.867503
ET,ET,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8252626997871875,0.4341333333333333,0.3264,0.22786666666666666,7.484635
ET,ET,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.8250937702635536,0.4474666666666667,0.3413333333333333,0.22746666666666668,0.895792
ET,ET,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8433677065992404,0.4656,0.34933333333333333,0.23453333333333334,6.806116
ET,ET,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.7675436579027861,0.4458666666666667,0.336,0.2416,0.997718
ET,ET,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8246875879349835,0.43733333333333335,0.3304,0.2312,7.253872
ET,ET,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.8252137080911087,0.4544,0.3416,0.22613333333333333,0.801746
ET,ET,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8427858944038723,0.4634666666666667,0.35306666666666664,0.23573333333333332,6.753276
ET,ET,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.7933131159324153,0.464,0.344,0.22106666666666666,0.378782
ET,ET,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8142652518821871,0.4533333333333333,0.34826666666666667,0.21906666666666666,1.594002
ET,ET,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.8109552992081768,0.4448,0.3496,0.22306666666666666,0.347412
ET,ET,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8125301101234255,0.45813333333333334,0.34613333333333335,0.22066666666666668,1.585009
